species_id,scientific_name,common_name,habit,duration,bloom_months_raw,bloom_start_month,bloom_end_month,bloom_months_standardized,spring_bloom,summer_bloom,fall_bloom,winter_bloom,water_use,light_requirement,soil_moisture,attracts,larval_host_for,special_value,timing_source,confidence_grade
PLANT_00001,Abutilon fruticosum,Texas Indian mallow,Herb,Perennial,"Jun , Jul , Aug , Sep , Oct",Jun,Oct,Jun;Jul;Aug;Sep;Oct,no,yes,yes,no,Low,Sun,Dry,"Birds , Butterflies",Larval plant food for several species of skipper butterflies.,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00002,Abutilon incanum,Abutilon incanum (Link) Sweet,Shrub,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct",Mar,Oct,Mar;Apr;May;Jun;Jul;Aug;Sep;Oct,yes,yes,yes,no,Low,Sun,Dry,Butterflies,"Texas Powdered Skipper, Common Streaky-Skipper",,Lady Bird Johnson Wildflower Center scrape,B
PLANT_00003,Acaciella angustissima,prairie acacia,Subshrub,Perennial,"Jun , Jul , Aug , Sep , Oct , Nov",Jun,Nov,Jun;Jul;Aug;Sep;Oct;Nov,no,yes,yes,no,"Low , Medium","Sun , Part Shade , Shade","Dry , Moist",,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00004,Acaciella angustissima var. hirta,prairie acacia,,,,,,,no,no,no,no,,,,,,,,D
PLANT_00005,Acalypha ostryifolia,pineland threeseed mercury,Herb,Annual,"Jun , Jul , Aug , Sep , Oct , Nov",Jun,Nov,Jun;Jul;Aug;Sep;Oct;Nov,no,yes,yes,no,,Sun,"Dry , Moist",,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00006,Acalypha phleoides,shrubby copperleaf,Herb,Perennial,"Jun , Jul",Jun,Jul,Jun;Jul,no,yes,no,no,,Part Shade,,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00007,Acalypha radians,Acalypha radians Torr.,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",Apr,Nov,Apr;May;Jun;Jul;Aug;Sep;Oct;Nov,yes,yes,yes,no,Low,Sun,Dry,,,,Lady Bird Johnson Wildflower Center scrape,B
PLANT_00008,Acer negundo,boxelder,Tree,Perennial,"Mar , Apr",Mar,Apr,Mar;Apr,yes,no,no,no,Medium,Sun,Moist,Birds,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00009,Achillea millefolium,common yarrow,Herb,Perennial,"Apr , May , Jun , Jul , Aug , Sep",Apr,Sep,Apr;May;Jun;Jul;Aug;Sep,yes,yes,yes,no,Medium,"Sun , Part Shade",Dry,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00010,Acleisanthes longiflora,Acleisanthes longiflora A. Gray,Herb,Perennial,"May , Jun , Jul , Aug , Sep",May,Sep,May;Jun;Jul;Aug;Sep,yes,yes,yes,no,,Sun,"Dry , Moist",,,,Lady Bird Johnson Wildflower Center scrape,B
PLANT_00011,Adiantum capillus-veneris,common maidenhair,Fern,Perennial,,,,,no,no,no,no,"Medium , High","Part Shade , Shade","Moist , Wet",,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00012,Aesculus pavia,red buckeye,"Shrub,Tree",Perennial,"Mar , Apr , May",Mar,May,Mar;Apr;May,yes,no,no,no,"Medium , High",Part Shade,Moist,Hummingbirds,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00013,Aesculus pavia var. pavia,red buckeye,,,,,,,no,no,no,no,,,,,,,,D
PLANT_00014,Agalinis densiflora,Osage false foxglove,,,,,,,no,no,no,no,,,,,,,,D
PLANT_00015,Agalinis edwardsiana,plateau false foxglove,Herb,Annual,"Aug , Sep , Oct",Aug,Oct,Aug;Sep;Oct,no,yes,yes,no,,Part Shade,,Butterflies,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00016,Agalinis fasciculata,beach false foxglove,,,,,,,no,no,no,no,,,,,,,,D
PLANT_00017,Agalinis heterophylla,prairie false foxglove,Herb,Annual,"Jun , Jul , Aug , Sep , Oct",Jun,Oct,Jun;Jul;Aug;Sep;Oct,no,yes,yes,no,,Part Shade,"Dry , Moist",Butterflies,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00018,Ageratina altissima,Ageratina altissima (L.) King & H. Rob.,Herb,Perennial,"Jul , Aug , Sep , Oct , Nov",Jul,Nov,Jul;Aug;Sep;Oct;Nov,no,yes,yes,no,Low,"Sun , Part Shade","Dry , Moist",,,,Lady Bird Johnson Wildflower Center scrape,B
PLANT_00019,Ageratina havanensis,Havana snakeroot,Shrub,Perennial,"Apr , May , Jun , Jul , Sep , Oct , Nov , Dec",Apr,Dec,Apr;May;Jun;Jul;Sep;Oct;Nov;Dec,yes,yes,yes,yes,,"Sun , Part Shade",Dry,"Butterflies , Hummingbirds",Rawson's Metalmark,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00020,Ajuga reptans,common bugle,,,,,,,no,no,no,no,,,,,,,,D
PLANT_00021,Albizia julibrissin,silktree,,,,,,,no,no,no,no,,,,,,,,D
PLANT_00022,Allium canadense,meadow garlic,Grass/Grass-like,Perennial,"May , Jun , Jul",May,Jul,May;Jun;Jul,yes,yes,no,no,Medium,Sun,Moist,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00023,Allium canadense var. canadense,meadow garlic,,,,,,,no,no,no,no,,,,,,,,D
PLANT_00024,Allium drummondii,Drummond's onion,Herb,Perennial,"Mar , Apr , May",Mar,May,Mar;Apr;May,yes,no,no,no,Low,Sun,Dry,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00025,Allowissadula holosericea,Chisos Mountain false Indianmallow,Shrub,Perennial,"Jun , Jul , Aug , Sep , Oct",Jun,Oct,Jun;Jul;Aug;Sep;Oct,no,yes,yes,no,,Part Shade,Moist,Butterflies,"Common Checkered Skipper, Texas Powdered Skipper, Common Streaky-Skipper",,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00026,Aloysia gratissima,whitebrush,Shrub,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",Mar,Nov,Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov,yes,yes,yes,no,Medium,"Sun , Part Shade",Moist,Birds,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00027,Amaranthus albus,prostrate pigweed,,,,,,,no,no,no,no,,,,,,,,D
PLANT_00028,Amaranthus blitoides,mat amaranth,,,,,,,no,no,no,no,,,,,,,,D
PLANT_00029,Amaranthus palmeri,Amaranthus palmeri S. Watson,Herb,Annual,"Jun , Jul , Aug , Sep , Oct",Jun,Oct,Jun;Jul;Aug;Sep;Oct,no,yes,yes,no,,,,,,,Lady Bird Johnson Wildflower Center scrape,B
PLANT_00030,Amaranthus polygonoides,tropical amaranth,Herb,Annual,"Jun , Jul , Aug , Sep , Oct",Jun,Oct,Jun;Jul;Aug;Sep;Oct,no,yes,yes,no,,,,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00031,Amaranthus retroflexus,redroot amaranth,Herb,Annual,,,,,no,no,no,no,,,,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00032,Amaranthus scleropoides,bonebract amaranth,Herb,Annual,"Jun , Jul , Aug , Sep , Oct",Jun,Oct,Jun;Jul;Aug;Sep;Oct,no,yes,yes,no,,Sun,Moist,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00033,Amaranthus spinosus,spiny amaranth,Herb,Annual,"Jul , Aug , Sep , Oct",Jul,Oct,Jul;Aug;Sep;Oct,no,yes,yes,no,,,,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00034,Ambrosia artemisiifolia,Ambrosia artemisiifolia L.,Herb,Annual,"Jun , Jul , Aug",Jun,Aug,Jun;Jul;Aug,no,yes,no,no,,"Sun , Part Shade , Shade",Dry,,,,Lady Bird Johnson Wildflower Center scrape,B
PLANT_00035,Ambrosia psilostachya,Cuman ragweed,Herb,Perennial,"Jul , Aug , Sep , Oct",Jul,Oct,Jul;Aug;Sep;Oct,no,yes,yes,no,,"Sun , Part Shade",Dry,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00036,Ambrosia trifida,great ragweed,Subshrub,Annual,"Jun , Jul , Aug , Sep , Oct",Jun,Oct,Jun;Jul;Aug;Sep;Oct,no,yes,yes,no,,"Part Shade , Shade",Moist,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00037,Ammannia auriculata,Ammannia auriculata Willd.,Herb,Annual,"May , Jun , Jul , Aug , Sep , Oct , Nov",May,Nov,May;Jun;Jul;Aug;Sep;Oct;Nov,yes,yes,yes,no,,,,,,,Lady Bird Johnson Wildflower Center scrape,B
PLANT_00038,Ammannia coccinea,valley redstem,Herb,Annual,"May , Jun , Jul , Aug , Sep , Oct , Nov",May,Nov,May;Jun;Jul;Aug;Sep;Oct;Nov,yes,yes,yes,no,Medium,Sun,,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00039,Amorpha fruticosa,false indigo bush,Shrub,Perennial,"Apr , May , Jun",Apr,Jun,Apr;May;Jun,yes,yes,no,no,Low,"Sun , Part Shade",Moist,Butterflies,"California & southern dogfaces, Silver-spotted Skipper (Epargyreus clarus), Gray hairstreak, Hoary edge skipper.",,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00040,Amorpha roemeriana,Roemer's false indigo,Shrub,Perennial,Apr,Apr,Apr,Apr,yes,no,no,no,,Part Shade,"Dry , Moist",Butterflies,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00041,Ampelopsis cordata,heartleaf peppervine,Vine,Perennial,"Apr , May , Jun",Apr,Jun,Apr;May;Jun,yes,yes,no,no,Medium,Part Shade,Dry,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00042,Amphiachyris amoena,Texas broomweed,Herb,Annual,"Sep , Oct",Sep,Oct,Sep;Oct,no,no,yes,no,,,,,,,Lady Bird Johnson Wildflower Center scrape,A
PLANT_00043,Amphiachyris dracunculoides,prairie broomweed,Herb,Annual,"Jul , Aug , Sep , Oct , Nov",Jul,Nov,Jul;Aug;Sep;Oct;Nov,no,yes,yes,no,,,,,,,Lady Bird Johnson Wildflower Center scrape,A
